post_id,url,description,create_time,digg_count,share_count,collect_count,comment_count,play_count,video_duration,hashtags,profile_username,profile_followers,is_verified,region,_search_keyword,_platforms,_match_source,_topic,_transcript
7608375098726255890,https://www.tiktok.com/@sacred.alpha/video/7608375098726255890,"[EN] It’s official: The Federal Reserve is now using Kalshi to track the economy! In a groundbreaking report released in February 2026, Fed researchers stated that Kalshi markets provide a ""high-frequency, continuously updated benchmark"" that is ""valuable to both researchers and policymakers."" The study found that traders on these platforms are just as accurate as Wall Street's top economists in predicting inflation and interest rates. What was once seen as ""gambling"" is now being hailed by the central bank as an essential tool for real-time economic truth. The world of finance has just entered the era of ""Information Finance."" [ID] Resmi: Federal Reserve kini mulai pakai data Kalshi untuk pantau ekonomi! Dalam laporan besar per Februari 2026, peneliti The Fed menyatakan bahwa pasar Kalshi menyediakan ""benchmark yang diperbarui terus-menerus"" dan ""sangat berharga bagi pembuat kebijakan."" Studi tersebut menemukan bahwa trader di platform ini punya akurasi yang setara dengan ekonom top Wall Street dalam menebak inflasi dan suku bunga. Sesuatu yang dulu dianggap ""judi"" kini diakui oleh bank sentral sebagai alat krusial untuk melihat data ekonomi secara real-time. Dunia keuangan resmi memasuki era ""Information Finance."" #federalreserve #kalshi #predictionmarkets #economics2026 #finance ",2026-02-19T01:01:25.000Z,0,,1,0,734,,"federalreserve, kalshi, predictionmarkets, economics2026, finance",sacredalpha,2377,False,ID,kalshi midterms,kalshi,"description, hashtags",,Just show this one on the screen. yes yeah
7560353693929852173,https://www.tiktok.com/@jonaswillett/video/7560353693929852173,"Trade on anything.  Kalshi is the fastest growing prediction market in the world. The company was founded by Tarek Mansour and Luana Lopes Lara, two MIT grads. The predictions market is projected to hit ~$100B by 2035 @Kalshi  __ #kalshi #tech #startups #vc #nyc   ",2025-10-12T15:14:14.000Z,95,4,23,0,5533,60,"kalshi, tech, startups, vc, nyc",jonaswillett,147,False,US,kalshi midterms,"kalshi, prediction_market","description, hashtags, transcript",,"Kalshi just raised $300 million at a $5 billion valuation to power degeneracy. Our generation is cooked. Kalshi is the fastest growing prediction market in the world. Basically, it lets you trade on outcomes. Anything from who wins a presidency, to sports, to government shutdowns. Each market has real-time odds that update as people predict what they think will happen. It's one of the first times ever that A16Z and Sequoia have co-led an investment. Kalshi is now in over 140 countries, and they're on pace to hit $50 billion in annualized trading volume. It feels like every big VC is invested in Kalshi, from General Catalyst to Google Ventures to Paradigm. KD and Kevin Hart are investors. The company was founded by two MIT grads, Tarek and Luana. For a while, the future of Kalshi wasn't 100% certain, mostly because the CFTC, the Commodity Futures Trading Commission, hadn't fully approved them. Kalshi was officially cleared in August of 2024, and that presidential election cycle, they absolutely took off. They saw over $500 million in trading volume in just the political markets. Besides being degenerate and having fun, Kalshi actually has a really cool function, which is aggregating massive amounts of data. It can aggregate millions of traders, turning dispersed knowledge into actionable and specific forecasts. Kalshi is estimated to hit almost $100 billion by 2035. I tagged them below, so feel free to check them out."
7607932723524537631,https://www.tiktok.com/@cmd.buy/video/7607932723524537631,"Kalshi bets that will hit. Keep an eye on these, I only bet on things I know.  #kalshi #prediction #betting #gambling #polymarket",2026-02-17T20:24:59.000Z,40,2,11,1,2260,,"kalshi, prediction, polymarket",cmd.buy,4947,False,US,kalshi midterms,"kalshi, polymarket","description, hashtags",,🎶 Music Outro 🎶
7619009592462380318,https://www.tiktok.com/@graceatcandid/video/7619009592462380318,Live on Candid #trump #dhs #kalshi #polymarket #candid ,2026-03-19T16:48:37.000Z,1,1,0,0,1,,"trump, dhs, kalshi, polymarket, candid",Grace | Prediction Markets 🔮,24,False,US,kalshi midterms,"kalshi, polymarket","description, hashtags",,
7617937315050097938,https://www.tiktok.com/@globalhaberdijital/video/7617937315050097938,Kalshi is offering $1 billion prize for a perfect March Madness bracket #MarchMadness #Basketball #SportsNews #Kalshi #1billion ,2026-03-16T19:27:37.000Z,0,,0,0,172,,"marchmadness, basketball, sportsnews, kalshi, 1billion",GlobalHaberDijital,2102,False,TR,kalshi midterms,kalshi,"description, hashtags",,HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HITSmash HitSmash HITSmash HITSmash HITSmash hit smash hit smash
7610290653527952654,https://www.tiktok.com/@tltour/video/7610290653527952654,Never betting with them again can’t even cash out like other app #fy #kalshi #sportsbetting ,2026-02-24T04:55:11.000Z,17,1,1,5,2543,,"fy, kalshi",.,176,False,US,kalshi midterms,kalshi,"description, hashtags",,
7612987779961687318,https://www.tiktok.com/@bfmbusiness/video/7612987779961687318,"Iran/États-Unis : le business morbide des paris sur la guerre 🇮🇷 Sur des plateformes comme Polymarket ou Kalshi, les internautes parient sur la date des prochaines frappes américaines, le nom du futur Guide suprême iranien ou la chute du régime des mollahs, empochant parfois des sommes folles. 🎙️ Nathan Cocquempot #business #economie #sinformersurtiktok #international #iran",2026-03-03T11:20:53.000Z,2991,456,332,23,70900,54,"business, economie, sinformersurtiktok, international, iran",BFM Business,234600,True,FR,polymarket desantis,"kalshi, polymarket","description, transcript",,"The U.S. will strike Iran by the... More than 500 million dollars have been bet on this kind of contract on the PolyMarket platform before the strikes on Saturday. Problem, the American law prohibits betting on war, murders or other violent events. The timing is also at the heart of the controversy. 6 bettors identified by an analysis company have each made more than 1 million dollars in profits on these contracts, betting on the exact date of the strikes. A situation reminiscent of the bets around the departure of Nicolas Maduro. An anonymous person had then bet more than 400,000 dollars, betting just before his capture, raising suspicions of criminal offences. After the start of the strikes and the death of Ramenei, the contracts were closed and some users were reimbursed to try to put out the fire. But the controversy continues and several Democratic parliamentarians push to ban this kind of platform. On the side of PolyMarket and Kalshi, all speculation is denied, aiming to take advantage of death."
7606453340746042654,https://www.tiktok.com/@rovingreporter/video/7606453340746042654,She was one of the first inside Polymarket’s free grocery store pop-up in the West Village after waiting on line for eight hours. She got there at 6 am. #nyc #manhattan #newyork #westvillage #news ,2026-02-13T20:44:07.000Z,6513,812,444,1957,252200,91,"nyc, manhattan, newyork, westvillage, news",rovingreporter,13100,False,US,polymarket desantis,polymarket,description,,"I'm happy. How was the experience? It was good. I was going to talk to you. It was very good. They helped me. It was the personal shopper. So he helped me try to put everything together. What I wanted and what I need and what I could carry out. Because they're only going to give me one bag to have it. So you got to be mindful of what you buy. The popcorn is big so I can carry that around. The hand towels are big. I can carry that. So I'm good. How many items did you get? I'm sorry? How many items did you get? Tell us what you bought. I bought a bag of popcorn. Popcorn. Popcorn. Popcorn. Popcorn. Popcorn. Popcorn. Popcorn. Popcorn. Tell us what you bought. What you got for free. Maybe like, because there's cheese and eggs and stuff I just have to fix it out. So I'm thinking maybe 20 items in there. Because they've got a lot of food in there. They've got some instant cereals over there. They've got some chomps up there. Eggs, grapes, milk, juice, water, cereal, pasta, spaghetti sauce. So it works out. Grab each and every one of them. You just can grab one and just keep it moving. That's it. And it was worth getting here at 6am? Yes, yes it was very much worth it. What time did you get here? Six. So we got up early, yes. Got up early, so yeah. It was well worth it, you know. Because like I said, this alone would be like $100, $120. This alone is like in the stores. Do you know what I'm saying? This alone right here. These two right here is like $60, $70. So that just saved me a whole bunch right there and I just got it for free. So I'm very, very grateful for everything. So that's good."
7602111684521528589,https://www.tiktok.com/@polymarket/video/7602111684521528589,"Mama we made it, Polymarket going mainstream #polymarket #grammys #trevornoah #music #awards",2026-02-02T03:56:23.000Z,51700,1650,2325,185,696500,13,"polymarket, grammys, trevornoah, music, awards",Polymarket,31400,True,US,polymarket desantis,polymarket,"description, hashtags",,"Welcome back to the Grammys, Potato. If you had me saying potato on Polly Market, you just made a ton of money. So congratulations, Noah underscore 22, whoever that is."
7595409511712607509,https://www.tiktok.com/@zeusfxtrader/video/7595409511712607509,"🚨 ÚLTIMA HORA: POLYMARKET YA CONTEMPLA LA CAÍDA DE CLAUDIA SHEINBAUM ⚠️🇲🇽 La plataforma de predicción Polymarket enlistó escenarios de salida anticipada de Claudia Sheinbaum de la presidencia de México en dos ventanas clave: 📅 Fechas y probabilidades actuales: • Antes del 31 de enero de 2026: 2% • Antes del 30 de junio de 2026: 3% 🔎 Como referencia, este mismo patrón ya ocurrió antes con Nicolás Maduro, quien también fue listado por Polymarket con fechas y probabilidades similares. 📊 Aunque los porcentajes son bajos, la señal es fuerte: cuando los mercados empiezan a apostar por caídas políticas, el problema ya no es “si”, sino “cuándo”. ⚠️ #mexico #Trump #cdmx #usa #zeusfxtrader ",2026-01-15T02:28:26.000Z,555,150,77,31,19800,44,"mexico, trump, cdmx, usa, zeusfxtrader",@ZeusFxTrader,25900,False,CO,polymarket desantis,polymarket,"description, transcript",,"Last hour, Polymarket already contemplates the fall of Claudia Sheinbaum, the prediction platform. Polymarket listed scenarios of early departure of Claudia Sheinbaum from the presidency of Mexico in two key windows. Current dates and probabilities. Before January 31, 2026, 2%. Before June 30, 2026, 3%. As a reference, this same pattern already occurred before with Nicolás Maduro, who was also listed by Polymarket with similar dates and probabilities. Although the percentages are low, the signal is strong. When markets begin to bet on political falls, the problem is no longer if, but when. To be informed, follow me."
7581855141419142421,https://www.tiktok.com/@nftcomrico/video/7581855141419142421,MERCADO DE PREVISÕES 🔮 💵 Dá para ganhar dinheiro?  A resposta é: SIM!  #bitcoin #criptomoedas #prediction ,2025-12-09T13:50:23.000Z,464,64,193,30,10100,140,"bitcoin, criptomoedas, prediction",Rico,113,False,BR,polymarket desantis,polymarket,transcript,,"Imagine a world where your opinions about the future are worth real money. This is PolyMarket, the largest forecast market platform on the planet. Founded in 2020 by Shane Coplan, it was created with the aim of combating misinformation precisely at the time of COVID-19, making people bet on the reopening of cities. Despite the regulatory challenges that PolyMarket faced in its beginning with a $1.4 million fine by the CFTC in 2022, PolyMarket was able to raise more than $270 million from investors such as Vitalik Buterin and Peter Thiel, in addition to accurately predicting the results of the 2024 US elections. But how does this work in practice? It's simple and powerful. You can use a crypto wallet to deposit USDC on Polygon's network, or you don't even need to use crypto. And then you buy shares for binary questions, such as, does Trump win the election? You can choose yes or no. Will it rain at the Oscars? You can choose yes or no. And then each stock is worth $0 to $1, representing the probability. So, for example, if a stock is worth $0.70, the probability of that happening is 70%. And the dynamics are pure. The more people bet on one side, the price moves automatically by supply and demand, creating odds in real time. And then you can sell your shares at any time. You don't have to wait for it to happen to make a profit. And then in the end, if that bet comes true, the stock is worth $1. And if that doesn't come true, it's worth $0. And then there's hot news for those who like to farm drops. In October 2025, Polymarket's own team confirmed that there will be a Token Poly and it will be distributed to those users loyal to the platform. So if you're not interacting yet, I recommend you start. And the impact of this is huge. But that's not all. Even Bloomberg has already integrated Polymarket into its platform, which is used by more than 350,000 analysts around the world. Even Yahoo Finance itself has integrated Polymarket into its app. Platforms like NFL and NHL also participate in campaigns with Polymarket. With billion-dollar volumes, Polymarket has already proven that it fights fake news and is also responsible for directing political, sports and even cultural decisions. Polymarket is changing the way we see tomorrow in a more democratic and lucrative way. Comment here the bet that I'm going to explain how I made money with this platform."
7617516288671223062,https://www.tiktok.com/@k1ngregor/video/7617516288671223062,¿Iván Cepeda está manipulando PolyMarket? #colombia #petristas #uribismo #gustavopetro #ivancepeda ,2026-03-15T16:13:45.000Z,1564,334,114,57,19100,34,"colombia, petristas, uribismo, gustavopetro, ivancepeda",k1ngregor,5682,False,CO,polymarket desantis,"betting_market, polymarket","description, transcript",,"How is it that Polymarket is being manipulated by Ivan Cepeda? Well, it seems that every 33 seconds there are bets made by Ivan Cepeda in Polymarket of 54 cents each. The money comes from three encrypted wallets backwards, one wallet inside another. But the curious thing is that the three operate in a coordinated way, something very rare in the betting market. In total there have been 514 transactions, which makes one wonder, where is this money coming from? Is it tax money or is it some kind of indebted financing?"
7578856487821249805,https://www.tiktok.com/@60minutes/video/7578856487821249805,"Shayne Coplan made a risky bet when he built Polymarket in 2020. He created the platform in three months and didn’t seek regulatory approval as the law required. In 2021, the Commodity Futures Trading Commission launched an investigation. Coplan paid a penalty and could not have customers in the U.S. With the second Trump administration came a new appreciation for prediction markets. In the summer of 2025, Polymarket bought a fully licensed, legally compliant trading platform, paving the way for its U.S. customers to access the platform for the first time in three years. Today, Polymarket is valued at $9 billion. #polymarket #betting #predictionmarket #entrepreneur #politics",2025-12-01T11:54:57.000Z,10800,934,1199,173,217100,195,"polymarket, predictionmarket, entrepreneur, politics",60 Minutes,3200000,True,US,polymarket desantis,"kalshi, polymarket, prediction_market","description, hashtags, transcript",,"Shane Copeland made a risky bet when he built PolyMarket in 2020. He did it fast, in just three months, and didn't seek regulatory approval as the law required. His chief competitor, Kalshi, did. In 2021, the Commodity Futures Trading Commission launched an investigation into PolyMarket. Copeland cooperated and ultimately paid a penalty. It was a $1.4 million fine. And also- It was a settlement. You could not have customers in the United States. Yeah, we had to go and geoblock trading in the US and move certain operations offshore. And it wasn't, hey, you're banned from trading in the US. It's like, until you're licensed. I mean, it was breaking the law. I mean, people say breaking the law, it's like, which law, you know? So if anything, it's incompatible. It's incompatible with the law. Yeah, with the regulatory matrix that existed. The regulatory matrix was pretty clear. US customers couldn't trade on PolyMarket. But plenty continued to. All they needed was a VPN connection to mask their computer's location. In 2024, in the final weeks of the Biden administration, Copeland got a surprise visit at home from the FBI. There was a lot of yelling and banging on the door. Like knocking, this is the FBI, or like- No, like a battering ram. He wasn't arrested, but agents seized his phones and computers. But with a new administration came a new appreciation for prediction markets. In July, the government dropped its investigations. And PolyMarket was able to buy a fully licensed, legally compliant trading platform, paving the way for their US customers to bet openly. Three months ago, Copeland named Donald Trump Jr., already an advisor to Calshi, to PolyMarket's advisory board. And Trump Jr.'s 1789 capital fund invested around $10 million in the company. I think there's going to be people watching who think that you put the president's son on your advisory board to get influence, to be able to protect yourself. So it's definitely not to protect myself. I mean, look, like they invested, right? We're in this admin. This admin is very pro-innovation and pro-crypto and pro-PolyMarket, which is amazing. The admin administration. Yeah. And, you know, I need help navigating that, right? I'm a young entrepreneur. If I have people who believe in what I do, who understand how politics works and can help me, help guide me and teach me, you know, there's nothing wrong about that. Last month, PolyMarket got its biggest validation yet. The company that owns the New York Stock Exchange announced it was investing $2 billion in PolyMarket. Days later, we met Copeland on the trading floor. What's it like to see your name up there? Yeah, I love it. I love it. It's cool, man. He told us PolyMarket's data will soon be integrated into the exchange to help investors and traders get an edge. What valuation now has PolyMarket been given? $9 billion post-money valuation. $9 billion. Did you anticipate that? I mean, I didn't start it to not get here, you know? Shane Copeland is now a billionaire, at least on paper, and PolyMarket, it still hasn't made any profit. It gives away its main product, its predictions, for free and doesn't charge fees on trades. At least, not yet."
7591990749562965268,https://www.tiktok.com/@evandroaz/video/7591990749562965268,"Um trader ganhou cerca de US$ 400 mil prevendo a possível prisão de Nicolás Maduro no Polymarket. O Polymarket é um prediction market. Um mercado onde pessoas colocam dinheiro em previsões sobre eventos reais como política, economia e conflitos. O preço funciona como probabilidade. Quanto mais gente acredita que algo vai acontecer, mais caro fica. Agora começa o debate. Nos EUA já se discute limitar esse tipo de mercado para quem tem acesso a informações sensíveis. E essa ideia está começando a chegar ao Brasil. Isso é evolução do mercado financeiro ou um limite perigoso sendo ultrapassado? Quero ler sua opinião nos comentários.",2026-01-05T21:21:41.000Z,52,5,4,6,2931,76,,Evandro Azevedo Lima,1423,False,BR,polymarket desantis,"polymarket, prediction_market","description, transcript",,"Did you see that? The guy turned $30,000 into $400,000 in just 24 hours. And the secret behind that was the fall of a dictator, the fall of Nicolas Maduro. The stage for this master play is PolyMarket, which is a forecast market platform. Think of it basically as a high-level stock exchange, where you basically negotiate the probability of future events. And it can be global politics, game results, anyway. And a trader, a geopolitical specialist, as far as we saw, he bet $30,000 that Nicolas Maduro would be captured and would basically be out of power until the end of January. And what happened? In less than 24 hours, the forecast came true. And the result is amazing. The $30,000 he bet turned into $400,000. This is a profit of more than 1,200%. Basically, there were more than 2 million reais in the pocket in a single day. But here's a crucial point. In traditional stock exchanges, using privileged information is a crime. It's the famous insider trading. In this forecast market, regulation is still a gray area. So now the question arises. Is this trader a genius or did he have backstage information? What do you think? Was it pure luck, pure analysis, or privileged information? Comment below."
7593774030302235918,https://www.tiktok.com/@loganpaul/video/7593774030302235918,"Closest comment gets $10,000 @Polymarket #poweredbypolymarket ",2026-01-10T16:42:10.000Z,24800,398,1262,4276,707000,77,poweredbypolymarket,Logan Paul,19000000,True,US,polymarket desantis,polymarket,"description, hashtags, transcript",,"Traders on Polymarket think there's only a 36% chance my Illustrator sells for over $10 million, but here's what I think and here's what I know. The winning bid hit $2.1 million in the first 24 hours, and there's still 40 days to go. There is extreme interest in this card and not just from Pokemon collectors. Hedge fund managers, billionaires, entire companies. Why? It is one of, if not the greatest collectible in the entire world. The only PSA 10 Illustrator, and for context, there's 15 PSA nines and one sold for $2 million in 2024. Card ladder has the estimated value of this card at $19 million. Partially because Pokemon as an asset class has increased by 3,800% in the last 20 years. But we're also talking about the most famous card in human history. With hundreds of millions of impressions on social media, Netflix, the news, even Chinese media and international markets have covered the sale of this card. It has its own Guinness World Record that it set after I wore it out to my WrestleMania debut with the iconic chain that it comes with. And here's the Pokemon lore. Only 39 copies were given out to winners of a Pokemon illustration contest back in 1998, meaning it could not be bought, it could only be earned. It was also designed by Atsuko Nishida, the creator of the most iconic character in the world, Pikachu. And that is why I think this card is gonna sell for $10,740,000. Comment what you think it'll sell for. Whoever's closest, I'm gonna give $10,000. Let's go."
